City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,tynda,55.1667,124.7167,16.19,40,100,3.51,RU,1683772650
289,plettenberg bay,-34.0527,23.3716,15.53,78,11,4.12,ZA,1683772945
290,sechura,-5.5569,-80.8222,24.98,73,2,6.38,PE,1683772945
291,marrakesh,31.6315,-8.0083,21.04,52,0,1.03,MA,1683772945
292,san ignacio,17.1561,-89.0714,30.08,66,0,4.12,BZ,1683772946
293,kayangel,8.0823,134.7173,28.99,69,100,1.47,PW,1683772946
294,kavaratti,10.5669,72.642,29.71,61,100,3.02,IN,1683772946
295,chonchi,-42.6128,-73.8092,13.56,98,89,1.24,CL,1683772946
296,novoishimskiy,53.1981,66.7694,8.93,71,91,5.55,KZ,1683772952
297,cidreira,-30.1811,-50.2056,14.98,78,9,4.02,BR,1683772952
298,broome,42.2506,-75.833,12.04,77,43,0.72,US,1683772953
299,kerikeri,-35.2268,173.9474,12.28,76,12,5.55,NZ,1683772953
300,rio preto da eva,-2.6994,-59.6997,23.05,99,100,1.72,BR,1683772953
301,turpan,42.9333,89.1667,28.62,10,25,1.86,CN,1683772754
302,kavieng,-2.5744,150.7967,29.41,71,61,0.56,PG,1683772954
303,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,70,75,3.0,RU,1683772954
304,hadibu,12.65,54.0333,28.2,66,72,0.91,YE,1683772954
305,pokhara,28.2333,83.9833,27.52,18,2,2.47,NP,1683772700
306,taguatinga,-12.3857,-46.5711,25.03,53,34,0.87,BR,1683772955
307,katsuura,35.1333,140.3,18.17,56,70,6.34,JP,1683772956
308,verkhnyaya sinyachikha,57.976,61.6673,7.31,78,68,3.27,RU,1683772956
309,mount pearl,47.5166,-52.7813,1.75,81,0,4.63,CA,1683772957
310,vredendal,-31.6683,18.5012,15.94,86,100,2.89,ZA,1683772957
311,concepcion,-36.827,-73.0498,10.89,100,91,1.54,CL,1683772957
312,golere,16.2557,-14.1017,31.57,19,63,9.23,SN,1683772958
313,pundong,-7.9522,110.3486,30.52,69,27,3.17,ID,1683772958
314,pandan,14.0453,124.1694,29.39,69,99,4.1,PH,1683772958
315,kapa'a,22.0752,-159.319,26.99,68,75,6.17,US,1683772959
316,plastun,44.7561,136.2939,10.02,61,28,4.97,RU,1683772959
317,crescent city,41.756,-124.2018,12.63,93,100,2.57,US,1683772959
318,havre,49.5833,0.3333,11.22,93,100,4.12,FR,1683772959
319,yeniseysk,58.4497,92.1703,8.95,35,81,3.31,RU,1683772959
320,togur,58.3631,82.8265,9.68,40,100,3.36,RU,1683772960
321,jamaame,0.0697,42.745,24.74,87,41,2.79,SO,1683772960
322,flying fish cove,-10.4217,105.6791,28.82,78,100,7.2,CX,1683772960
323,colby,39.3958,-101.0524,14.03,85,40,9.39,US,1683772745
324,montevideo,-34.8335,-56.1674,14.9,67,75,5.81,UY,1683772886
325,invercargill,-46.4,168.35,8.34,95,86,1.34,NZ,1683772961
326,sonbong,42.3422,130.3967,14.59,49,0,3.0,KP,1683772961
327,roccella ionica,38.322,16.4009,15.11,87,91,2.43,IT,1683772961
328,el granada,37.5027,-122.4694,15.13,73,20,7.72,US,1683772962
329,port-vila,-17.7338,168.3219,28.78,70,75,6.17,VU,1683772962
330,augusto correa,-1.0217,-46.635,23.98,96,96,1.23,BR,1683772962
331,bowen,-20.0167,148.2333,25.11,62,68,8.27,AU,1683772962
332,chilca,-12.5211,-76.7372,20.44,85,99,3.04,PE,1683772963
333,angaur state,6.906,134.13,29.0,70,100,1.59,PW,1683772963
334,silvania,-16.6589,-48.6081,17.19,73,81,1.05,BR,1683772963
335,luanda,-8.8368,13.2343,27.0,89,20,2.57,AO,1683772749
336,georgetown,5.4112,100.3354,31.96,74,20,3.6,MY,1683772926
337,callao,-12.0667,-77.15,22.16,73,100,3.09,PE,1683772964
338,al kharj,24.155,47.3346,30.32,17,49,0.91,SA,1683772965
339,kas,36.2018,29.6377,19.0,72,94,1.48,TR,1683772965
340,shahba,32.8551,36.629,18.73,25,100,2.95,SY,1683772965
341,pangody,65.85,74.4859,-11.19,79,19,5.94,RU,1683772965
